rank,influence,effect_size,band,ai_feasibility,human_irreducibility,substitution_risk,mechanism_conflict,vendor_activity,notes
159,Homework,0.29,Below hinge,AI-RESISTANT,High,High,Conflict present,High,Critical mechanism conflict: homework works through independent practice and consolidation; AI assistance that provides answers bypasses the consolidation process entirely. High vendor activity makes this a dangerous zone.
160,Desegregation,0.28,Below hinge,AI-ADJACENT,Low,Low,No conflict,Low,Structural policy; AI has no role in the causal mechanism.
161,Pre-school programs,0.28,Below hinge,AI-ADJACENT,Low,Low,No conflict,Low,Early childhood development requires physical human care and embodied play; AI tools are peripheral to the primary developmental mechanism.
162,Whole-school improvement programs,0.28,Below hinge,AI-ADJACENT,Low,Low,No conflict,Low,"School improvement requires human leadership, collective professional development, and organizational culture change; AI data analytics are a support tool."
163,Use of calculators,0.27,Below hinge,AI-NATIVE,Low,High,Partial conflict,Low,Calculator use is appropriate after conceptual mastery; mechanism conflict if used to bypass the development of numerical reasoning.
164,Mainstreaming/inclusion,0.27,Below hinge,AI-ADJACENT,Low,Low,No conflict,Low,"Inclusion requires human specialist support, relational integration, and physical co-presence; AI logistics tools are peripheral."
165,Student personality attributes,0.26,Below hinge,AI-ADJACENT,Low,Low,No conflict,Low,Personality traits are stable; AI cannot alter underlying student personality attributes.
166,Exercise/relaxation,0.26,Below hinge,AI-ADJACENT,Low,Low,No conflict,Low,Physical exercise is the causal mechanism; AI wearables track but do not deliver the intervention.
167,Lack of illness,0.26,Below hinge,AI-ADJACENT,Low,Low,No conflict,Low,Student health is a background variable; AI health monitoring is peripheral to the educational mechanism.
168,Out-of-school curricula experiences,0.26,Below hinge,AI-ADJACENT,Low,Low,No conflict,Low,Embodied real-world experiences are the mechanism; AI can facilitate discovery and access but cannot substitute for the experiences themselves.
169,Volunteer tutors,0.26,Below hinge,AI-RESISTANT,High,Low,Conflict present,Low,The relational commitment of a volunteer tutor is part of the mechanism; AI substitution removes the human relationship element.
170,Problem-based learning,0.26,Below hinge,AI-ADJACENT,Low,Low,Partial conflict,Low,Problem-based learning requires human facilitation of authentic problem-solving; AI resource scaffolding is peripheral.
171,Use of PowerPoint,0.26,Below hinge,AI-NATIVE,Low,High,No conflict,Low,AI presentation tools are legitimate; 0.26 effect size means AI-generated slides should not be promoted as a significant learning intervention.
172,Grit/incremental vs. entity thinking,0.25,Below hinge,AI-AUGMENTED,Medium,Low,No conflict,Low,Growth mindset development requires human modeling of effort and persistence; AI prompts are a peripheral scaffold.
173,Adopted vs non-adopted care,0.25,Below hinge,AI-ADJACENT,Low,Low,No conflict,Low,Background variable; AI has no role in the causal mechanism.
174,Religious schools,0.24,Below hinge,AI-ADJACENT,Low,Low,No conflict,Low,Institutional and community context variable; AI has no role in the causal mechanism.
175,Competitive vs. individualistic learning,0.24,Below hinge,AI-ADJACENT,Low,Low,No conflict,Low,Competitive motivation is primarily social; AI leaderboards are a weak substitute for genuine peer competition.
176,Intact (two-parent) families,0.23,Below hinge,AI-ADJACENT,High,Low,No conflict,Low,Background variable; AI has no role in the causal mechanism.
177,Summer school,0.23,Below hinge,AI-ADJACENT,Low,Medium,No conflict,Low,Summer learning loss prevention requires sustained engagement; AI content delivery is peripheral to the relational and motivational challenge.
178,Teacher personality attributes,0.23,Below hinge,AI-ADJACENT,High,Low,No conflict,Low,Teacher personality traits are stable background variables; AI cannot alter teacher personality.
179,Individualized instruction,0.23,Below hinge,AI-ADJACENT,Low,Low,Partial conflict,Low,AI personalization technically delivers individualized instruction; below-hinge effect size suggests individualization alone is insufficient without high-effect pedagogical strategies.
180,Programmed instruction,0.23,Below hinge,AI-NATIVE,Low,Low,No conflict,Low,AI is the technological successor to programmed instruction; below-hinge effect size is the honest number for this intervention class.
181,Technology in science,0.23,Below hinge,AI-NATIVE,Low,High,No conflict,Low,Legitimate AI-native zone for science simulations and data tools; below-hinge effect size means AI science tools should not substitute for high-effect human instruction.
182,Teacher verbal ability,0.22,Below hinge,AI-RESISTANT,High,Low,Conflict present,Low,"Teacher verbal modeling of precise, sophisticated language use is an embodied human mechanism; AI cannot replicate genuine verbal ability in a teacher."
183,Clickers,0.22,Below hinge,AI-NATIVE,Low,High,No conflict,Low,AI polling and response systems are the natural successor to clickers; below-hinge effect size is the honest number.
184,Visual/audio-visual methods,0.22,Below hinge,AI-ADJACENT,Low,Low,No conflict,Low,AI can generate visual and multimedia content; teacher-facilitated interpretation and meaning-making is the primary mechanism.
185,Finances,0.21,Below hinge,AI-ADJACENT,Low,Low,No conflict,Low,School funding is a structural policy variable; AI has no role in the causal mechanism.
186,Reducing class size,0.21,Below hinge,AI-ADJACENT,Low,Low,No conflict,Low,Structural variable; AI tools do not change the physical teacher-to-student ratio that drives the mechanism.
187,Interleaved practice,0.21,Below hinge,AI-AUGMENTED,Medium,Low,No conflict,Low,AI can schedule interleaved practice sequences; below-hinge effect size means interleaving alone is an insufficient primary strategy.
188,Discovery-based teaching,0.21,Below hinge,AI-ADJACENT,Low,Low,Partial conflict,Low,Genuine discovery learning requires human facilitation of inquiry; AI resource provision is peripheral.
189,Technology in small groups,0.21,Below hinge,AI-RESISTANT,High,High,Conflict present,Low,Physical small group interaction is the mechanism; technology introduction often degrades face-to-face collaboration rather than enhancing it.
190,Student support programs – college,0.21,Below hinge,AI-ADJACENT,Low,Low,No conflict,Low,"College student support works through human advising, belonging, and relational accountability; AI tools are logistical supports."
191,Extra-curricula programs,0.20,Below hinge,AI-ADJACENT,Low,Low,No conflict,Low,"Extra-curricular benefits come from embodied participation, skill development, and human mentorship; AI logistics tools are peripheral."
192,Engaged vs disengaged fathers,0.20,Below hinge,AI-ADJACENT,Low,Low,No conflict,Low,Paternal engagement is a relational family variable; AI has no meaningful role in the causal mechanism.
193,Aptitude/treatment interactions,0.19,Below hinge,AI-ADJACENT,Low,Low,No conflict,Low,Aptitude-treatment matching requires complex human judgment about individual learner profiles; AI personalization is a weak proxy.
194,Learning hierarchies-based approach,0.19,Below hinge,AI-ADJACENT,Low,Low,No conflict,Low,AI can generate prerequisite learning maps; teacher expertise in curriculum sequencing is the primary mechanism.
195,Co- or team teaching,0.19,Below hinge,AI-ADJACENT,Low,Low,No conflict,Low,Team teaching benefits from human professional collaboration and complementary expertise; AI coordination tools are logistical supports.
196,Within class grouping,0.18,Below hinge,AI-ADJACENT,Low,Low,No conflict,Low,Flexible grouping requires human judgment about social dynamics and equity; AI composition optimization is a peripheral support.
197,Web-based learning,0.18,Below hinge,AI-NATIVE,Low,High,No conflict,Low,AI web-based learning platforms are a legitimate use case; 0.18 is the honest effect size baseline vendors should be required to cite.
198,Lack of stress,0.17,Below hinge,AI-ADJACENT,Low,Low,No conflict,Low,"Student stress levels are shaped by home, relational, and institutional factors; AI has no meaningful causal role."
199,Other family structure,0.16,Below hinge,AI-RESISTANT,High,Low,No conflict,Low,Background family variable; AI has no role in the causal mechanism.
200,One-on-one laptops,0.16,Below hinge,AI-NATIVE,Low,High,No conflict,Low,AI devices are a natural extension of one-on-one laptop programs; 0.16 is the honest effect size baseline. Vendors claiming transformative impact from device deployment are making unsupported claims.
201,Home-school programs,0.16,Below hinge,AI-RESISTANT,High,Low,No conflict,Low,Home schooling effectiveness depends on family relationship quality and curriculum coherence; AI content tools are logistical supports.
202,Sentence combining programs,0.15,Below hinge,AI-ADJACENT,Low,Low,No conflict,Low,Legitimate peripheral AI use case; below-hinge effect size limits claim strength significantly.
203,Parental autonomy support,0.15,Below hinge,AI-RESISTANT,High,Low,Conflict present,Low,Parental autonomy-supportive parenting requires human relational warmth and responsiveness; AI tools cannot replicate this dynamic.
204,Distance education,0.13,Negligible,AI-NATIVE,Low,High,No conflict,Low,AI dramatically improves distance education delivery; 0.13 effect size is a warning that distance education itself is a low-effect modality regardless of AI enhancement.
205,Morning vs. evening,0.12,Negligible,AI-ADJACENT,Low,Low,No conflict,Low,Chronobiological variable; AI scheduling tools are peripheral to the biological mechanism.
206,Positive ethnic self-identity,0.12,Negligible,AI-ADJACENT,Low,Low,No conflict,Low,Ethnic identity development requires human cultural community and relational modeling; AI has no meaningful role.
207,Juvenile delinquent programs,0.12,Negligible,AI-ADJACENT,Low,Low,No conflict,Low,Juvenile delinquent program effectiveness depends on human mentorship and relational accountability; AI logistics tools are peripheral.
208,School choice programs,0.12,Negligible,AI-ADJACENT,Low,Low,No conflict,Low,School choice is a structural policy variable; AI has no role in the causal mechanism.
209,Tracking/streaming,0.12,Negligible,AI-ADJACENT,Low,Low,No conflict,Low,"Structural tracking has documented equity harms; AI should support flexible, responsive grouping rather than rigid tracking."
210,Mentoring,0.12,Negligible,AI-RESISTANT,High,Medium,Conflict present,Low,"Mentoring effectiveness depends on authentic human relationship, mutual commitment, and genuine care; AI cannot replicate this."
211,Initial teacher training programs,0.12,Negligible,AI-ADJACENT,High,Low,No conflict,Low,"Initial teacher training requires human coaching, observation, and feedback on real teaching practice; AI content tools are logistical supports."
212,Different types of testing,0.12,Negligible,AI-ADJACENT,Low,Low,No conflict,Low,AI can generate diverse assessment formats; below-negligible effect size suggests test format variation alone has minimal impact.
213,Teacher subject matter knowledge,0.11,Negligible,AI-RESISTANT,High,Low,No conflict,Low,Teacher's pedagogical content knowledge — knowing how to teach a specific subject — requires human expertise development; AI cannot substitute.
214,Diverse student body,0.10,Negligible,AI-ADJACENT,Low,Low,No conflict,Low,Structural demographic variable; AI has no role in the causal mechanism.
215,Background music,0.10,Negligible,AI-ADJACENT,Low,Low,No conflict,Low,Negligible effect size; AI music selection tools are a peripheral distraction from high-effect instructional investments.
216,Diversity courses,0.09,Negligible,AI-ADJACENT,Low,Low,No conflict,Low,Diversity education requires human facilitation of genuine cross-cultural dialogue; AI content delivery is peripheral.
217,Charter schools,0.09,Negligible,AI-ADJACENT,Low,Low,No conflict,Low,Institutional structure variable; AI has no role in the causal mechanism.
218,Modifying school calendars/timetables,0.09,Negligible,AI-ADJACENT,Low,Low,No conflict,Low,Negligible effect size; AI timetabling tools are administrative efficiencies with minimal educational impact.
219,Detracking,0.09,Negligible,AI-ADJACENT,Low,Low,No conflict,Low,Structural policy decision; AI flexible grouping tools support implementation but do not drive the educational mechanism.
220,Gender on achievement,0.08,Negligible,AI-ADJACENT,Low,Low,No conflict,Low,Demographic variable; AI has no role in the causal mechanism.
221,Perceptual-motor programs,0.08,Negligible,AI-ADJACENT,Low,Low,No conflict,Low,Embodied physical movement is the mechanism; AI has no meaningful role.
222,Single-sex schools,0.08,Negligible,AI-ADJACENT,Low,Low,No conflict,Low,Institutional structure variable; AI has no role in the causal mechanism.
223,Middle schools' interventions,0.08,Negligible,AI-ADJACENT,Low,Low,No conflict,Low,Middle school transition support depends on human relational continuity and advising; AI logistics tools are peripheral.
224,Mastery goals,0.06,Negligible,AI-AUGMENTED,Medium,High,Partial conflict,Low,Effect size at negligible band; AI mastery goal tracking is a peripheral support that does not warrant significant investment.
225,Whole language approach,0.06,Negligible,AI-ADJACENT,Low,Low,No conflict,Low,Negligible effect size compared to phonics instruction (0.70); AI whole language tools should not be prioritized over phonics-based interventions.
226,College halls of residence,0.05,Negligible,AI-ADJACENT,Low,Low,No conflict,Low,Living context variable; AI has no meaningful role in the educational mechanism.
227,Teacher performance pay,0.05,Negligible,AI-ADJACENT,High,Low,No conflict,Low,Performance pay is a structural policy variable with negligible effect size; AI measurement tools do not address the underlying motivation mechanism.
228,Breastfeeding,0.04,Negligible,AI-ADJACENT,Low,Low,No conflict,Low,Biological variable entirely outside educational AI scope.
229,Multi-grade/age classes,0.04,Negligible,AI-ADJACENT,Low,Low,No conflict,Low,Negligible effect size; multi-grade AI differentiation tools should not be prioritized over high-effect instructional investments.
230,Humor,0.04,Negligible,AI-ADJACENT,Low,Low,No conflict,Low,Teacher humor is relational and contextually embedded; AI-generated humor is artificial and pedagogically irrelevant at this effect size.
231,Parental employment,0.03,Negligible,AI-ADJACENT,High,Low,No conflict,Low,Background variable; AI has no role in the causal mechanism.
232,Student control over learning,0.02,Negligible,AI-ADJACENT,Low,Low,Partial conflict,Low,Negligible effect size; student autonomy in learning is important pedagogically but effect size suggests it does not drive achievement gains alone.
233,Non-immigrant background,0.01,Negligible,AI-ADJACENT,Low,Low,No conflict,Low,Background demographic variable; AI has no role.
234,Open vs. traditional classrooms,0.01,Negligible,AI-ADJACENT,High,Low,No conflict,Low,Physical classroom structure variable; AI has no role in the causal mechanism.
235,Technology in distance education,0.01,Negligible,AI-NATIVE,Low,High,No conflict,Low,AI is the natural delivery medium for distance education; 0.01 effect size is a systemic warning that distance education modality itself limits achievement regardless of technology quality.
236,Performance goals,-0.01,Harmful,AI-AUGMENTED,Medium,Low,No conflict,Low,"Performance goals (ego-oriented, not mastery-oriented) harm achievement; AI scaffolding of performance goals perpetuates the harm."
237,Summer vacation effect,-0.02,Harmful,AI-ADJACENT,Low,Low,No conflict,Low,Summer learning loss is a structural calendar variable; AI summer learning platforms partially offset loss but do not address root cause.
238,Lack of sleep,-0.05,Harmful,AI-ADJACENT,Low,Low,No conflict,Low,Sleep is a biological variable; AI sleep tracking is peripheral to the educational mechanism.
239,Surface motivation and approach,-0.11,Harmful,AI-ADJACENT,Low,Low,Conflict present,Low,"Mechanism conflict: AI gamification systems risk reinforcing surface (extrinsic reward) motivation orientation, potentially deepening the harm."
240,Family on welfare/state aid,-0.12,Harmful,AI-ADJACENT,High,Low,No conflict,Low,Socioeconomic barrier; AI has no role in the causal mechanism. Structural poverty requires structural intervention.
241,Parental military deployment,-0.16,Harmful,AI-ADJACENT,High,Low,No conflict,Low,Family disruption variable; AI has no meaningful role in addressing the underlying harm.
242,Television,-0.18,Harmful,AI-ADJACENT,Low,Low,No conflict,Low,Screen time harm is mediated by displacement of learning time and sleep; AI monitoring tools require human authority for enforcement.
243,Students feeling disliked,-0.19,Harmful,AI-RESISTANT,High,Low,Conflict present,Low,Students feeling disliked requires human relational repair; AI chatbot substitution for human social connection risks deepening the harm.
244,Suspension/expelling students,-0.20,Harmful,AI-RESISTANT,High,Low,No conflict,Low,Exclusionary discipline has documented harm; restorative alternatives require human relational judgment and community repair processes.
245,Non-standard dialect use,-0.29,Harmful,AI-ADJACENT,Low,Low,Partial conflict,Low,AI language feedback tools trained on standard dialect corpora risk perpetuating linguistic discrimination; requires careful auditing for dialect bias.
246,Retention (holding students back),-0.32,Harmful,AI-ADJACENT,Low,Low,No conflict,Low,"Retention harms achievement; AI predictive analytics identifying retention candidates should prompt targeted intervention, not retention decisions."
247,Corporal punishment in the home,-0.33,Harmful,AI-RESISTANT,High,Low,No conflict,Low,Child welfare variable requiring human institutional and legal intervention; AI has no role in the causal mechanism.
248,Moving between schools,-0.34,Harmful,AI-ADJACENT,Low,Low,No conflict,Low,School mobility harm is primarily relational disruption; AI transition scaffolding tools partially mitigate logistics but do not restore relational continuity.
249,Depression,-0.36,Harmful,AI-ADJACENT,Low,Low,No conflict,Low,Clinical depression requires human therapeutic intervention; AI mental health tools are peripheral supports only.
250,Boredom,-0.49,Harmful,AI-AUGMENTED,Medium,Low,Partial conflict,Low,AI adaptive difficulty can reduce boredom from under-challenge; mechanism conflict risk if gamification substitutes for genuine intellectual challenge.
251,Deafness,-0.61,Harmful,AI-AUGMENTED,Medium,Low,No conflict,Low,"AI captioning, sign language tools, and assistive technology are a genuinely important augmentation; specialist human deaf education remains essential."
252,ADHD,-0.90,Harmful,AI-AUGMENTED,High,Low,No conflict,Low,"AI interface simplification and pacing tools are legitimate supports; cannot address the neurobiological basis of ADHD. The negative effect size reflects ADHD's impact on achievement, not an intervention effect."
