profile_id,rank,influence,effect_size,band,ai_feasibility,human_irreducibility,substitution_risk,mechanism_conflict,vendor_activity,hypothetical_ai_effect,notes
P34,105,Outdoor/adventure programs,0.43,Above hinge,AI-RESISTANT,High,Low,Conflict present,Low,d≈0.05 [HYPOTHESIS]: Physical embodied challenge is the causal mechanism,"Outdoor challenge, physical risk management, and group resilience-building are entirely embodied; AI has no meaningful role."
P07,106,School size (600-900 students at secondary),0.43,Above hinge,AI-ADJACENT,Low,Low,No conflict,Low,N/A — structural institutional variable,Structural variable; AI cannot alter physical school size or the relational dynamics it creates.
P31,107,Teacher expectations,0.43,Above hinge,AI-AUGMENTED,High,Low,Partial conflict,Low,d≈0.30 [HYPOTHESIS]: AI can surface differential expectation patterns; teacher must consciously recalibrate,AI blind-grading and pattern detection can surface implicit low expectations; teacher must actively recalibrate their beliefs and behaviors.
P04,108,Philosophy in schools,0.43,Above hinge,AI-AUGMENTED,Medium,Low,Partial conflict,Low,d≈0.30 [HYPOTHESIS]: AI can provide philosophical texts and prompts; Socratic dialogue requires human facilitation,Community of inquiry requires human facilitation of genuine philosophical dialogue; AI can supply texts and seed questions.
P03,109,Teaching communication skills and strategies,0.43,Above hinge,AI-AUGMENTED,Medium,Low,No conflict,Low,d≈0.35 [HYPOTHESIS]: AI can scaffold communication skill practice; live human interaction for authentic communication remains essential,AI can structure communication skill practice tasks; authentic communication competency requires real human interaction.
P03,110,Motivation,0.42,Above hinge,AI-AUGMENTED,Medium,Low,No conflict,Low,d≈0.25 [HYPOTHESIS]: AI gamification supports surface motivation; intrinsic motivation requires human relationship and meaningful tasks,"Intrinsic motivation is shaped by autonomy, competence, and relatedness (SDT); AI supports competence feedback but relatedness requires human."
P03,111,Reducing anxiety,0.42,Above hinge,AI-AUGMENTED,Medium,Low,No conflict,Low,d≈0.25 [HYPOTHESIS]: AI can provide low-stakes practice environments; therapeutic anxiety reduction requires human relationship,AI low-stakes practice reduces performance anxiety around tasks; clinical anxiety management requires human therapeutic relationship.
P04,112,Elaborative interrogation,0.42,Above hinge,AI-AUGMENTED,Medium,Low,Partial conflict,Low,d≈0.35 [HYPOTHESIS]: AI why-questions are useful; student must generate the elaborations,"Mechanism conflict: AI must require student to generate explanations, not provide explanations to the student."
P10,113,Behavioral organizers,0.42,Above hinge,AI-AUGMENTED,Medium,Medium,No conflict,Low,d≈0.35 [HYPOTHESIS]: AI can generate advance organizers; teacher must connect organizer to live instruction,AI can generate visual advance organizers; teacher must connect them explicitly to live instructional sequence.
P65,114,Technology in writing,0.42,Above hinge,AI-NATIVE,Low,High,Conflict present,High,d≈0.20 [HYPOTHESIS]: Writing assistance tools only if student produces the writing,Critical mechanism conflict: AI writing tools that produce text for students are the antithesis of this intervention. Legitimate only as feedback and editing tools on student-produced writing.
P33,115,Technology with college students,0.42,Above hinge,AI-NATIVE,Low,High,Partial conflict,Low,d≈0.35 [HYPOTHESIS]: AI content delivery for college students is a legitimate use case; academic integrity monitoring required,Legitimate AI-native zone for procedural and content delivery; mechanism conflict risk high in writing and problem-solving tasks.
P03,116,Positive self-concept,0.41,Above hinge,AI-AUGMENTED,Medium,Low,No conflict,Low,d≈0.25 [HYPOTHESIS]: AI success scaffolding supports self-concept; durable self-concept requires human validation,Positive academic self-concept is built through mastery experiences validated by trusted adults; AI supports mastery experience design.
P10,117,Professional development programs,0.41,Above hinge,AI-AUGMENTED,Medium,Medium,No conflict,Low,d≈0.35 [HYPOTHESIS]: AI can support PD content and logistics; peer coaching and reflection remain human,"AI can curate and deliver PD content; peer observation, coaching relationships, and collaborative reflection are irreducibly human."
P03,118,Relating creativity to achievement,0.40,Above hinge,AI-AUGMENTED,Medium,Low,No conflict,Low,d≈0.25 [HYPOTHESIS]: AI can design creative achievement tasks; teacher validation of creative output matters,AI can structure tasks connecting creative and academic domains; teacher evaluation of creative quality shapes student perception of worth.
P04,119,Goal commitment,0.40,Above hinge,AI-AUGMENTED,Medium,Low,Partial conflict,Low,d≈0.30 [HYPOTHESIS]: AI accountability prompts support goal commitment; public commitment to human teacher strengthens it,"Mechanism conflict risk: AI must support student commitment to self-set goals, not set goals for students."
P16,120,Cooperative learning,0.40,Above hinge,AI-RESISTANT,High,Medium,Conflict present,Low,d≈0.10 [HYPOTHESIS]: Cooperative interdependence requires physical human presence,"Positive interdependence, individual accountability within groups, and face-to-face interaction are the mechanisms; AI cannot replicate."
P04,121,Inquiry-based teaching,0.40,Above hinge,AI-AUGMENTED,Medium,Low,Partial conflict,Low,d≈0.30 [HYPOTHESIS]: AI can scaffold inquiry resources; teacher facilitation of genuine inquiry reasoning is essential,AI can surface resources and scaffold inquiry structure; genuine inquiry reasoning and question-formation require human facilitation.
P10,122,After-school programs,0.40,Above hinge,AI-AUGMENTED,Medium,Medium,No conflict,Low,d≈0.25 [HYPOTHESIS]: AI can support after-school content; relational mentorship in these programs is human,After-school program benefits are partly relational and community-based; AI content delivery is peripheral to the human relationship component.
P17,123,Social skills programs,0.39,Below hinge,AI-RESISTANT,High,Medium,Conflict present,Low,d≈0.05 [HYPOTHESIS]: Social skill development requires physical human interaction,"Social skill acquisition requires embodied human interaction, real-time social feedback, and practice in genuine social contexts."
P11,124,Relations of high school achievement to career performance,0.38,Below hinge,AI-ADJACENT,Low,Medium,No conflict,Low,"N/A — correlation variable, not an intervention",Correlation between school and career performance; AI career mapping tools are adjacent but do not address the underlying mechanism.
P01,125,Drama/arts programs,0.38,Below hinge,AI-ADJACENT,Low,Low,No conflict,Low,d≈0.15 [HYPOTHESIS]: AI creative tools are peripheral; embodied artistic practice and human audience are the mechanism,"Arts learning benefits from embodied practice, human performance, and audience response; AI tools are peripheral."
P11,126,Career interventions,0.38,Below hinge,AI-ADJACENT,Low,Medium,No conflict,Low,d≈0.20 [HYPOTHESIS]: AI career information tools are useful; human mentorship and networking remain primary,"AI can provide career information and mapping; human mentorship, networking, and personal advising are the primary career intervention mechanisms."
P01,127,Music programs,0.37,Below hinge,AI-ADJACENT,Low,Low,No conflict,Low,d≈0.15 [HYPOTHESIS]: AI music tools are peripheral; embodied musical practice and human instruction are the mechanism,"Music learning requires embodied physical practice, human performance feedback, and ensemble social experience."
P36,128,Worked examples,0.37,Below hinge,AI-NATIVE,Low,Low,No conflict,Low,d≈0.30 [HYPOTHESIS]: AI generation of worked examples at scale is a legitimate AI-native use case,Procedural; AI can generate infinite correctly-worked examples aligned to student error patterns and curriculum level.
P66,129,Mobile phones,0.37,Below hinge,AI-ADJACENT,Low,High,No conflict,Low,d≈-0.30 [HYPOTHESIS]: AI learning apps on personal phones degrade learning through multitasking,Below hinge as educational tool; physical phone presence introduces cognitive load and off-task multitasking. Enforcement of bans requires human authority.
P01,130,Bilingual programs,0.36,Below hinge,AI-ADJACENT,Low,Low,No conflict,Low,d≈0.20 [HYPOTHESIS]: AI language tools support bilingual programs; human cultural and linguistic modeling remains primary,AI translation and language practice tools support bilingual instruction; human cultural competency and linguistic modeling are the primary mechanism.
P01,131,Student-centered teaching,0.36,Below hinge,AI-ADJACENT,Low,Low,No conflict,Low,d≈0.20 [HYPOTHESIS]: AI personalization supports student-centered design; teacher responsive judgment is the mechanism,Student-centered teaching requires teacher real-time responsiveness to student interests and needs; AI personalizes content selection peripherally.
P01,132,Attitude to content domains,0.35,Below hinge,AI-ADJACENT,Low,Low,No conflict,Low,d≈0.15 [HYPOTHESIS]: AI relevance framing may support attitude; teacher enthusiasm and modeling are primary,Content attitude is primarily shaped by teacher modeling of enthusiasm and relevance; AI framing is peripheral.
P17,133,Counseling effects,0.35,Below hinge,AI-RESISTANT,High,Medium,Conflict present,Low,d≈-0.10 [HYPOTHESIS]: AI counseling substitutes degrade therapeutic relationship,Therapeutic alliance is the primary mechanism of counseling effectiveness; AI chatbot substitution degrades genuine therapeutic relationship.
P17,134,Classroom management,0.35,Below hinge,AI-RESISTANT,High,Medium,Conflict present,Low,d≈0.05 [HYPOTHESIS]: Physical classroom authority cannot be AI-mediated,"Behavioral authority, physical presence, and relational credibility are the mechanisms of effective classroom management; AI has no meaningful role."
P35,135,Gaming/simulations,0.35,Below hinge,AI-NATIVE,Low,High,Partial conflict,Low,d≈0.28 [HYPOTHESIS]: AI-enhanced simulations are a legitimate use case; transfer to real learning requires human connection,AI can enhance simulation fidelity and adaptivity; teacher must explicitly connect simulation learning to curriculum and ensure transfer.
P01,136,Chess instruction,0.34,Below hinge,AI-ADJACENT,Low,Low,No conflict,Low,d≈0.20 [HYPOTHESIS]: AI chess tools support practice; human instruction and competitive motivation remain primary,AI chess engines provide unlimited practice opponents; human instruction in strategic thinking and competitive motivation are the primary mechanism.
P01,137,Motivation/character programs,0.34,Below hinge,AI-ADJACENT,Low,Low,No conflict,Low,d≈0.15 [HYPOTHESIS]: AI content delivery for character programs is peripheral; human modeling is primary,"Character and motivation programs work through human modeling, relational accountability, and school culture; AI content delivery is peripheral."
P12,138,Decreasing disruptive behavior,0.34,Below hinge,AI-RESISTANT,High,Low,Conflict present,Low,d≈0.05 [HYPOTHESIS]: Behavior de-escalation requires physical human presence and relational authority,"De-escalation of disruptive behavior requires physical presence, relational authority, and embodied social judgment; AI monitoring is peripheral."
P17,139,Collaborative learning,0.34,Below hinge,AI-RESISTANT,High,Medium,Conflict present,Low,d≈0.10 [HYPOTHESIS]: Collaborative learning requires physical human interdependence,"Genuine collaboration requires physical co-presence, real-time social negotiation, and shared accountability; AI-mediated collaboration degrades the mechanism."
P18,140,Teaching creative thinking,0.34,Below hinge,AI-ADJACENT,Low,Low,Partial conflict,Low,d≈0.15 [HYPOTHESIS]: AI divergent prompts are useful; human facilitation of creative evaluation is primary,"Creative thinking development requires human facilitation of evaluation, refinement, and social validation of creative output."
P01,141,Stereotype threat,0.33,Below hinge,AI-ADJACENT,Low,Low,No conflict,Low,N/A — psychological barrier variable; intervention is human-relational,Reducing stereotype threat requires human relational affirmation and belonging signals; AI has no meaningful role in the core mechanism.
P05,142,Technology in mathematics,0.33,Below hinge,AI-NATIVE,Low,High,No conflict,Low,d≈0.28 [HYPOTHESIS]: AI adaptive math practice is a legitimate use case but effect size is below hinge,Legitimate AI-native zone for procedural math practice; effect size below hinge means AI math tools should not substitute for high-effect human instruction.
P01,143,ADHD – treatment with drugs,0.32,Below hinge,AI-ADJACENT,Low,Low,No conflict,Low,N/A — pharmacological intervention,Medical treatment; AI has no role in the causal mechanism.
P23,144,Principals/school leaders,0.32,Below hinge,AI-RESISTANT,High,Low,No conflict,Low,d≈0.05 [HYPOTHESIS]: Leadership is relational and contextual; AI administrative support only,"Instructional leadership requires relational authority, contextual judgment, and embodied presence; AI administrative tools are peripheral."
P67,145,School climate,0.32,Below hinge,AI-RESISTANT,High,Medium,No conflict,Low,d≈0.05 [HYPOTHESIS]: School climate is a human social construct; AI monitoring is peripheral,"School climate is built through human relationships, shared norms, and leadership behavior; AI climate surveys are data-collection tools only."
P22,146,Average teacher effects,0.32,Below hinge,AI-ADJACENT,High,Low,No conflict,Low,N/A — aggregate variable describing teacher quality distribution,"Aggregate variable; individual teacher quality improvement requires human coaching, not AI."
P01,147,Adjunct aids,0.32,Below hinge,AI-ADJACENT,Low,Low,No conflict,Low,d≈0.20 [HYPOTHESIS]: AI can generate study aids; effect size below hinge limits value,"AI can generate summaries, glossaries, and study guides; effect size below hinge suggests these are insufficient as primary interventions."
P01,148,External accountability systems,0.31,Below hinge,AI-ADJACENT,Low,Low,No conflict,Low,d≈0.15 [HYPOTHESIS]: AI can support accountability reporting; systemic accountability is institutional,External accountability is structural and political; AI reporting tools are administrative supports only.
P01,149,Matching style of learning,0.31,Below hinge,AI-ADJACENT,Low,Low,No conflict,Low,N/A — learning styles theory lacks robust empirical support,"Learning styles as a construct has weak empirical support; AI personalization should be based on prior knowledge and performance, not style matching."
P01,150,Manipulative materials on math,0.30,Below hinge,AI-ADJACENT,Low,Low,No conflict,Low,d≈0.10 [HYPOTHESIS]: Physical manipulatives are the mechanism; AI virtual manipulatives are a weak substitute,Embodied physical manipulation of objects is the causal mechanism; virtual AI manipulatives have reduced physical encoding benefit.
P01,151,Ability grouping for gifted students,0.30,Below hinge,AI-ADJACENT,Low,Low,No conflict,Low,d≈0.15 [HYPOTHESIS]: AI can support flexible grouping logistics; grouping decisions require human judgment,Structural grouping decisions require human judgment about equity and individual student needs; AI can support logistics only.
P01,152,Teaching test taking and coaching,0.30,Below hinge,AI-ADJACENT,Low,Low,No conflict,Low,d≈0.25 [HYPOTHESIS]: AI test prep tools are a legitimate peripheral use case,AI test preparation tools are legitimate but address a below-hinge intervention; should not substitute for high-effect instructional investments.
P05,153,Technology with high school students,0.30,Below hinge,AI-NATIVE,Low,High,No conflict,Low,d≈0.25 [HYPOTHESIS]: AI content delivery for high school students is a legitimate use case; effect size below hinge,"Legitimate AI-native zone for procedural content at high school level; 0.30 effect size means AI tools should augment, not replace, high-effect human instruction."
P11,154,Mindfulness,0.29,Below hinge,AI-ADJACENT,Low,Medium,No conflict,Low,d≈0.15 [HYPOTHESIS]: AI-guided mindfulness apps are peripheral; human-facilitated practice is primary,Mindfulness practice benefits from human facilitation and relational context; AI apps provide scripts but not the relational embedding.
P12,155,Home visiting,0.29,Below hinge,AI-RESISTANT,High,Low,Conflict present,Low,d≈0.05 [HYPOTHESIS]: Physical home visiting relationship is the causal mechanism,"Physical presence in the home, relational trust between visitor and family, and embodied support are the mechanism; AI has no meaningful role."
P11,156,Cognitive behavioral programs,0.29,Below hinge,AI-ADJACENT,Low,Medium,No conflict,Low,d≈0.15 [HYPOTHESIS]: AI CBT tools are peripheral; therapeutic relationship is primary,Clinical CBT effectiveness depends on therapeutic alliance; AI tools may support between-session practice but cannot replace human therapeutic relationship.
P05,157,Online and digital tools,0.29,Below hinge,AI-NATIVE,Low,High,No conflict,Low,d≈0.25 [HYPOTHESIS]: AI-enhanced digital tools are a legitimate use case; effect size below hinge is the honest number,Legitimate AI-native zone; 0.29 effect size is the honest number vendors selling AI digital tools should be required to cite.
P05,158,Technology in reading/literacy,0.29,Below hinge,AI-NATIVE,Low,High,No conflict,Low,d≈0.25 [HYPOTHESIS]: AI reading tools are legitimate; effect size below hinge limits claim strength,Legitimate AI-native zone for reading technology; below hinge effect size means AI reading tools should not be primary literacy intervention.
P68,159,Homework,0.29,Below hinge,AI-RESISTANT,High,High,Conflict present,High,d≈-0.10 [HYPOTHESIS]: AI homework assistance degrades the mechanism,Critical mechanism conflict: homework works through independent practice and consolidation; AI assistance that provides answers bypasses the consolidation process entirely. High vendor activity makes this a dangerous zone.
P01,160,Desegregation,0.28,Below hinge,AI-ADJACENT,Low,Low,No conflict,Low,N/A — structural policy variable,Structural policy; AI has no role in the causal mechanism.
P01,161,Pre-school programs,0.28,Below hinge,AI-ADJACENT,Low,Low,No conflict,Low,d≈0.15 [HYPOTHESIS]: AI pre-school content tools are peripheral; human care and embodied play are primary,Early childhood development requires physical human care and embodied play; AI tools are peripheral to the primary developmental mechanism.
P01,162,Whole-school improvement programs,0.28,Below hinge,AI-ADJACENT,Low,Low,No conflict,Low,d≈0.10 [HYPOTHESIS]: AI data analytics support school improvement; the human organizational change work is primary,"School improvement requires human leadership, collective professional development, and organizational culture change; AI data analytics are a support tool."
P35,163,Use of calculators,0.27,Below hinge,AI-NATIVE,Low,High,Partial conflict,Low,d≈0.22 [HYPOTHESIS]: AI calculators are legitimate; mechanism conflict if used before conceptual understanding is established,Calculator use is appropriate after conceptual mastery; mechanism conflict if used to bypass the development of numerical reasoning.
P01,164,Mainstreaming/inclusion,0.27,Below hinge,AI-ADJACENT,Low,Low,No conflict,Low,d≈0.10 [HYPOTHESIS]: AI can support inclusion logistics; human specialist support is primary,"Inclusion requires human specialist support, relational integration, and physical co-presence; AI logistics tools are peripheral."
P01,165,Student personality attributes,0.26,Below hinge,AI-ADJACENT,Low,Low,No conflict,Low,"N/A — background variable, not a manipulable intervention",Personality traits are stable; AI cannot alter underlying student personality attributes.
P01,166,Exercise/relaxation,0.26,Below hinge,AI-ADJACENT,Low,Low,No conflict,Low,d≈0.10 [HYPOTHESIS]: AI fitness tracking is peripheral; physical activity is the mechanism,Physical exercise is the causal mechanism; AI wearables track but do not deliver the intervention.
P01,167,Lack of illness,0.26,Below hinge,AI-ADJACENT,Low,Low,No conflict,Low,"N/A — health variable, not a manipulable educational intervention",Student health is a background variable; AI health monitoring is peripheral to the educational mechanism.
P01,168,Out-of-school curricula experiences,0.26,Below hinge,AI-ADJACENT,Low,Low,No conflict,Low,d≈0.10 [HYPOTHESIS]: AI can facilitate access to out-of-school resources; embodied experiences are the mechanism,Embodied real-world experiences are the mechanism; AI can facilitate discovery and access but cannot substitute for the experiences themselves.
P12,169,Volunteer tutors,0.26,Below hinge,AI-RESISTANT,High,Low,Conflict present,Low,d≈0.05 [HYPOTHESIS]: Volunteer tutor relationship is the mechanism; AI substitution degrades it,The relational commitment of a volunteer tutor is part of the mechanism; AI substitution removes the human relationship element.
P18,170,Problem-based learning,0.26,Below hinge,AI-ADJACENT,Low,Low,Partial conflict,Low,d≈0.15 [HYPOTHESIS]: AI can scaffold PBL resources; human facilitation of genuine problem-solving reasoning is primary,Problem-based learning requires human facilitation of authentic problem-solving; AI resource scaffolding is peripheral.
P05,171,Use of PowerPoint,0.26,Below hinge,AI-NATIVE,Low,High,No conflict,Low,d≈0.20 [HYPOTHESIS]: AI presentation generation is a legitimate peripheral use case; effect size below hinge is the honest number,AI presentation tools are legitimate; 0.26 effect size means AI-generated slides should not be promoted as a significant learning intervention.
P37,172,Grit/incremental vs. entity thinking,0.25,Below hinge,AI-AUGMENTED,Medium,Low,No conflict,Low,d≈0.15 [HYPOTHESIS]: AI can scaffold growth mindset prompts; human modeling is primary,Growth mindset development requires human modeling of effort and persistence; AI prompts are a peripheral scaffold.
P01,173,Adopted vs non-adopted care,0.25,Below hinge,AI-ADJACENT,Low,Low,No conflict,Low,"N/A — family structure variable, not an educational intervention",Background variable; AI has no role in the causal mechanism.
P01,174,Religious schools,0.24,Below hinge,AI-ADJACENT,Low,Low,No conflict,Low,N/A — institutional context variable,Institutional and community context variable; AI has no role in the causal mechanism.
P01,175,Competitive vs. individualistic learning,0.24,Below hinge,AI-ADJACENT,Low,Low,No conflict,Low,d≈0.10 [HYPOTHESIS]: AI competition mechanics are peripheral; human social competition dynamic is primary,Competitive motivation is primarily social; AI leaderboards are a weak substitute for genuine peer competition.
P22,176,Intact (two-parent) families,0.23,Below hinge,AI-ADJACENT,High,Low,No conflict,Low,"N/A — family structure variable, not an educational intervention",Background variable; AI has no role in the causal mechanism.
P11,177,Summer school,0.23,Below hinge,AI-ADJACENT,Low,Medium,No conflict,Low,d≈0.15 [HYPOTHESIS]: AI can support summer learning content; relational engagement in summer programs is primary,Summer learning loss prevention requires sustained engagement; AI content delivery is peripheral to the relational and motivational challenge.
P22,178,Teacher personality attributes,0.23,Below hinge,AI-ADJACENT,High,Low,No conflict,Low,"N/A — teacher background variable, not a manipulable intervention",Teacher personality traits are stable background variables; AI cannot alter teacher personality.
P18,179,Individualized instruction,0.23,Below hinge,AI-ADJACENT,Low,Low,Partial conflict,Low,d≈0.18 [HYPOTHESIS]: AI personalization is useful; effect size below hinge suggests limited impact,AI personalization technically delivers individualized instruction; below-hinge effect size suggests individualization alone is insufficient without high-effect pedagogical strategies.
P36,180,Programmed instruction,0.23,Below hinge,AI-NATIVE,Low,Low,No conflict,Low,d≈0.18 [HYPOTHESIS]: AI is the natural evolution of programmed instruction; effect size below hinge limits claim strength,AI is the technological successor to programmed instruction; below-hinge effect size is the honest number for this intervention class.
P05,181,Technology in science,0.23,Below hinge,AI-NATIVE,Low,High,No conflict,Low,d≈0.18 [HYPOTHESIS]: AI science tools are a legitimate use case; effect size below hinge limits claim strength,Legitimate AI-native zone for science simulations and data tools; below-hinge effect size means AI science tools should not substitute for high-effect human instruction.
P12,182,Teacher verbal ability,0.22,Below hinge,AI-RESISTANT,High,Low,Conflict present,Low,d≈0.05 [HYPOTHESIS]: Teacher verbal modeling cannot be AI-substituted,"Teacher verbal modeling of precise, sophisticated language use is an embodied human mechanism; AI cannot replicate genuine verbal ability in a teacher."
P05,183,Clickers,0.22,Below hinge,AI-NATIVE,Low,High,No conflict,Low,d≈0.18 [HYPOTHESIS]: AI real-time response systems are a legitimate peripheral use case,AI polling and response systems are the natural successor to clickers; below-hinge effect size is the honest number.
P01,184,Visual/audio-visual methods,0.22,Below hinge,AI-ADJACENT,Low,Low,No conflict,Low,d≈0.15 [HYPOTHESIS]: AI multimedia generation is peripheral; teacher-facilitated sense-making is primary,AI can generate visual and multimedia content; teacher-facilitated interpretation and meaning-making is the primary mechanism.
P01,185,Finances,0.21,Below hinge,AI-ADJACENT,Low,Low,No conflict,Low,N/A — resource variable,School funding is a structural policy variable; AI has no role in the causal mechanism.
P01,186,Reducing class size,0.21,Below hinge,AI-ADJACENT,Low,Low,No conflict,Low,d≈0.10 [HYPOTHESIS]: AI classroom management tools are peripheral; physical teacher-to-student ratio is the variable,Structural variable; AI tools do not change the physical teacher-to-student ratio that drives the mechanism.
P37,187,Interleaved practice,0.21,Below hinge,AI-AUGMENTED,Medium,Low,No conflict,Low,d≈0.18 [HYPOTHESIS]: AI scheduling of interleaved practice is a legitimate use case; effect size below hinge,AI can schedule interleaved practice sequences; below-hinge effect size means interleaving alone is an insufficient primary strategy.
P18,188,Discovery-based teaching,0.21,Below hinge,AI-ADJACENT,Low,Low,Partial conflict,Low,d≈0.10 [HYPOTHESIS]: AI resource scaffolding is peripheral; genuine discovery requires human facilitation,Genuine discovery learning requires human facilitation of inquiry; AI resource provision is peripheral.
P69,189,Technology in small groups,0.21,Below hinge,AI-RESISTANT,High,High,Conflict present,Low,d≈0.05 [HYPOTHESIS]: Small group social dynamic is the mechanism; technology in groups often degrades collaboration,Physical small group interaction is the mechanism; technology introduction often degrades face-to-face collaboration rather than enhancing it.
P01,190,Student support programs – college,0.21,Below hinge,AI-ADJACENT,Low,Low,No conflict,Low,d≈0.15 [HYPOTHESIS]: AI support tools are peripheral; human advising and belonging are primary,"College student support works through human advising, belonging, and relational accountability; AI tools are logistical supports."
P01,191,Extra-curricula programs,0.20,Below hinge,AI-ADJACENT,Low,Low,No conflict,Low,d≈0.10 [HYPOTHESIS]: AI can support extra-curricular logistics; embodied participation and human mentorship are primary,"Extra-curricular benefits come from embodied participation, skill development, and human mentorship; AI logistics tools are peripheral."
P01,192,Engaged vs disengaged fathers,0.20,Below hinge,AI-ADJACENT,Low,Low,No conflict,Low,N/A — family engagement variable,Paternal engagement is a relational family variable; AI has no meaningful role in the causal mechanism.
P01,193,Aptitude/treatment interactions,0.19,Below hinge,AI-ADJACENT,Low,Low,No conflict,Low,d≈0.12 [HYPOTHESIS]: AI can personalize treatment to aptitude; interaction effects are complex and require human judgment,Aptitude-treatment matching requires complex human judgment about individual learner profiles; AI personalization is a weak proxy.
P01,194,Learning hierarchies-based approach,0.19,Below hinge,AI-ADJACENT,Low,Low,No conflict,Low,d≈0.15 [HYPOTHESIS]: AI can map learning hierarchies; curriculum sequencing decisions require human expertise,AI can generate prerequisite learning maps; teacher expertise in curriculum sequencing is the primary mechanism.
P01,195,Co- or team teaching,0.19,Below hinge,AI-ADJACENT,Low,Low,No conflict,Low,d≈0.10 [HYPOTHESIS]: AI coordination tools are peripheral; teacher collaborative relationship is the mechanism,Team teaching benefits from human professional collaboration and complementary expertise; AI coordination tools are logistical supports.
P01,196,Within class grouping,0.18,Below hinge,AI-ADJACENT,Low,Low,No conflict,Low,d≈0.12 [HYPOTHESIS]: AI can optimize group composition; grouping decisions require human judgment about equity,Flexible grouping requires human judgment about social dynamics and equity; AI composition optimization is a peripheral support.
P05,197,Web-based learning,0.18,Below hinge,AI-NATIVE,Low,High,No conflict,Low,d≈0.15 [HYPOTHESIS]: AI-enhanced web learning is legitimate; 0.18 effect size is the honest baseline,AI web-based learning platforms are a legitimate use case; 0.18 is the honest effect size baseline vendors should be required to cite.
P01,198,Lack of stress,0.17,Below hinge,AI-ADJACENT,Low,Low,No conflict,Low,N/A — background wellbeing variable,"Student stress levels are shaped by home, relational, and institutional factors; AI has no meaningful causal role."
P23,199,Other family structure,0.16,Below hinge,AI-RESISTANT,High,Low,No conflict,Low,N/A — family structure variable,Background family variable; AI has no role in the causal mechanism.
P05,200,One-on-one laptops,0.16,Below hinge,AI-NATIVE,Low,High,No conflict,Low,d≈0.14 [HYPOTHESIS]: AI-enhanced one-on-one device programs are legitimate; 0.16 is the honest baseline,AI devices are a natural extension of one-on-one laptop programs; 0.16 is the honest effect size baseline. Vendors claiming transformative impact from device deployment are making unsupported claims.
P23,201,Home-school programs,0.16,Below hinge,AI-RESISTANT,High,Low,No conflict,Low,d≈0.10 [HYPOTHESIS]: AI home-school content tools are peripheral; family relationship and curriculum design are primary,Home schooling effectiveness depends on family relationship quality and curriculum coherence; AI content tools are logistical supports.
P01,202,Sentence combining programs,0.15,Below hinge,AI-ADJACENT,Low,Low,No conflict,Low,d≈0.12 [HYPOTHESIS]: AI sentence-combining exercises are a peripheral use case,Legitimate peripheral AI use case; below-hinge effect size limits claim strength significantly.
P12,203,Parental autonomy support,0.15,Below hinge,AI-RESISTANT,High,Low,Conflict present,Low,d≈0.05 [HYPOTHESIS]: Parental autonomy support is an embodied relational family dynamic,Parental autonomy-supportive parenting requires human relational warmth and responsiveness; AI tools cannot replicate this dynamic.
P38,204,Distance education,0.13,Negligible,AI-NATIVE,Low,High,No conflict,Low,d≈0.12 [HYPOTHESIS]: AI enhances distance education; 0.13 effect size is an honest warning about distance education's limitations,AI dramatically improves distance education delivery; 0.13 effect size is a warning that distance education itself is a low-effect modality regardless of AI enhancement.
P02,205,Morning vs. evening,0.12,Negligible,AI-ADJACENT,Low,Low,No conflict,Low,N/A — chronobiological variable,Chronobiological variable; AI scheduling tools are peripheral to the biological mechanism.
P02,206,Positive ethnic self-identity,0.12,Negligible,AI-ADJACENT,Low,Low,No conflict,Low,N/A — identity development variable,Ethnic identity development requires human cultural community and relational modeling; AI has no meaningful role.
P02,207,Juvenile delinquent programs,0.12,Negligible,AI-ADJACENT,Low,Low,No conflict,Low,d≈0.08 [HYPOTHESIS]: AI can support program logistics; human mentorship and relational accountability are primary,Juvenile delinquent program effectiveness depends on human mentorship and relational accountability; AI logistics tools are peripheral.
P02,208,School choice programs,0.12,Negligible,AI-ADJACENT,Low,Low,No conflict,Low,N/A — structural policy variable,School choice is a structural policy variable; AI has no role in the causal mechanism.
P02,209,Tracking/streaming,0.12,Negligible,AI-ADJACENT,Low,Low,No conflict,Low,d≈0.05 [HYPOTHESIS]: AI can support flexible tracking decisions; structural tracking harms equity,"Structural tracking has documented equity harms; AI should support flexible, responsive grouping rather than rigid tracking."
P70,210,Mentoring,0.12,Negligible,AI-RESISTANT,High,Medium,Conflict present,Low,d≈-0.05 [HYPOTHESIS]: AI mentoring substitutes degrade genuine mentoring relationship,"Mentoring effectiveness depends on authentic human relationship, mutual commitment, and genuine care; AI cannot replicate this."
P19,211,Initial teacher training programs,0.12,Negligible,AI-ADJACENT,High,Low,No conflict,Low,d≈0.10 [HYPOTHESIS]: AI can support teacher training content delivery; human coaching and practice teaching are primary,"Initial teacher training requires human coaching, observation, and feedback on real teaching practice; AI content tools are logistical supports."
P02,212,Different types of testing,0.12,Negligible,AI-ADJACENT,Low,Low,No conflict,Low,d≈0.10 [HYPOTHESIS]: AI can diversify assessment formats; effect size below hinge limits claim strength,AI can generate diverse assessment formats; below-negligible effect size suggests test format variation alone has minimal impact.
