rank,influence,effect_size,band,ai_feasibility,human_irreducibility,vendor_activity,notes
194,Learning hierarchies-based approach,0.19,Below hinge,AI-ADJACENT,Low,Low,"AI may track or report on this influence, but it is not the causal mechanism."
195,Co- or team teaching,0.19,Below hinge,AI-ADJACENT,Low,Low,"AI may track or report on this influence, but it is not the causal mechanism."
196,Within class grouping,0.18,Below hinge,AI-ADJACENT,Low,Low,"AI may track or report on this influence, but it is not the causal mechanism."
197,Web-based learning,0.18,Below hinge,AI-NATIVE,Low,High,"Core routine is procedural or digital enough for AI/system delivery, assuming accuracy, alignment, and monitoring."
198,Lack of stress,0.17,Below hinge,AI-ADJACENT,Low,Low,"AI may track or report on this influence, but it is not the causal mechanism."
199,Other family structure,0.16,Below hinge,AI-RESISTANT,High,Low,"Core mechanism depends on human relationship, social context, embodied judgment, or institutional trust."
200,One-on-one laptops,0.16,Below hinge,AI-NATIVE,Low,High,"Core routine is procedural or digital enough for AI/system delivery, assuming accuracy, alignment, and monitoring."
201,Home-school programs,0.16,Below hinge,AI-RESISTANT,High,Low,"Core mechanism depends on human relationship, social context, embodied judgment, or institutional trust."
202,Sentence combining programs,0.15,Below hinge,AI-ADJACENT,Low,Low,"AI may track or report on this influence, but it is not the causal mechanism."
203,Parental autonomy support,0.15,Below hinge,AI-RESISTANT,High,Low,"Core mechanism depends on human relationship, social context, embodied judgment, or institutional trust."
204,Distance education,0.13,Negligible,AI-NATIVE,Low,High,"Core routine is procedural or digital enough for AI/system delivery, assuming accuracy, alignment, and monitoring."
205,Morning vs. evening,0.12,Negligible,AI-ADJACENT,Low,Low,"AI may track or report on this influence, but it is not the causal mechanism."
206,Positive ethnic self-identity,0.12,Negligible,AI-ADJACENT,Low,Low,"AI may track or report on this influence, but it is not the causal mechanism."
207,Juvenile delinquent programs,0.12,Negligible,AI-ADJACENT,Low,Low,"AI may track or report on this influence, but it is not the causal mechanism."
208,School choice programs,0.12,Negligible,AI-ADJACENT,Low,Low,"AI may track or report on this influence, but it is not the causal mechanism."
209,Tracking/streaming,0.12,Negligible,AI-ADJACENT,Low,Low,"AI may track or report on this influence, but it is not the causal mechanism."
210,Mentoring,0.12,Negligible,AI-RESISTANT,High,Moderate,"Core mechanism depends on human relationship, social context, embodied judgment, or institutional trust."
211,Initial teacher training programs,0.12,Negligible,AI-ADJACENT,High,Low,"AI may track or report on this influence, but it is not the causal mechanism."
212,Different types of testing,0.12,Negligible,AI-ADJACENT,Low,Low,"AI may track or report on this influence, but it is not the causal mechanism."
213,Teacher subject matter knowledge,0.11,Negligible,AI-RESISTANT,High,Low,"Core mechanism depends on human relationship, social context, embodied judgment, or institutional trust."
214,Diverse student body,0.1,Negligible,AI-ADJACENT,Low,Low,"AI may track or report on this influence, but it is not the causal mechanism."
215,Background music,0.1,Negligible,AI-ADJACENT,Low,Low,"AI may track or report on this influence, but it is not the causal mechanism."
216,Diversity courses,0.09,Negligible,AI-ADJACENT,Low,Low,"AI may track or report on this influence, but it is not the causal mechanism."
217,Charter schools,0.09,Negligible,AI-ADJACENT,Low,Low,"AI may track or report on this influence, but it is not the causal mechanism."
218,Modifying school calendars/timetables,0.09,Negligible,AI-ADJACENT,Low,Low,"AI may track or report on this influence, but it is not the causal mechanism."
219,Detracking,0.09,Negligible,AI-ADJACENT,Low,Low,"AI may track or report on this influence, but it is not the causal mechanism."
220,Gender on achievement,0.08,Negligible,AI-ADJACENT,Low,No,"AI may track or report on this influence, but it is not the causal mechanism."
221,Perceptual-motor programs,0.08,Negligible,AI-ADJACENT,Low,Low,"AI may track or report on this influence, but it is not the causal mechanism."
222,Single-sex schools,0.08,Negligible,AI-ADJACENT,Low,Low,"AI may track or report on this influence, but it is not the causal mechanism."
223,Middle schools’ interventions,0.08,Negligible,AI-ADJACENT,Low,Low,"AI may track or report on this influence, but it is not the causal mechanism."
224,Mastery goals,0.06,Negligible,AI-AUGMENTED,Medium,High,"AI can support implementation, diagnosis, scaffolding, feedback, or logistics, but human judgment remains important."
225,Whole language approach,0.06,Negligible,AI-ADJACENT,Low,Low,"AI may track or report on this influence, but it is not the causal mechanism."
226,College halls of residence,0.05,Negligible,AI-ADJACENT,Low,Low,"AI may track or report on this influence, but it is not the causal mechanism."
227,Teacher performance pay,0.05,Negligible,AI-ADJACENT,High,Low,"AI may track or report on this influence, but it is not the causal mechanism."
228,Breastfeeding,0.04,Negligible,AI-ADJACENT,Low,No,"AI may track or report on this influence, but it is not the causal mechanism."
229,Multi-grade/age classes,0.04,Negligible,AI-ADJACENT,Low,Low,"AI may track or report on this influence, but it is not the causal mechanism."
230,Humor,0.04,Negligible,AI-ADJACENT,Low,Low,"AI may track or report on this influence, but it is not the causal mechanism."
231,Parental employment,0.03,Negligible,AI-ADJACENT,High,Low,"AI may track or report on this influence, but it is not the causal mechanism."
232,Student control over learning,0.02,Negligible,AI-ADJACENT,Low,Low,"AI may track or report on this influence, but it is not the causal mechanism."
233,Non-immigrant background,0.01,Negligible,AI-ADJACENT,Low,Low,"AI may track or report on this influence, but it is not the causal mechanism."
234,Open vs. traditional classrooms,0.01,Negligible,AI-ADJACENT,High,Low,"AI may track or report on this influence, but it is not the causal mechanism."
235,Technology in distance education,0.01,Negligible,AI-NATIVE,Low,High,"Core routine is procedural or digital enough for AI/system delivery, assuming accuracy, alignment, and monitoring."
236,Performance goals,-0.01,Harmful,AI-AUGMENTED,Medium,Low,"AI can support implementation, diagnosis, scaffolding, feedback, or logistics, but human judgment remains important."
237,Summer vacation effect,-0.02,Harmful,AI-ADJACENT,Low,Low,"AI may track or report on this influence, but it is not the causal mechanism."
238,Lack of sleep,-0.05,Harmful,AI-ADJACENT,Low,No,"AI may track or report on this influence, but it is not the causal mechanism."
239,Surface motivation and approach,-0.11,Harmful,AI-ADJACENT,Low,Low,"AI may track or report on this influence, but it is not the causal mechanism."
240,Family on welfare/state aid,-0.12,Harmful,AI-ADJACENT,High,No,"AI may track or report on this influence, but it is not the causal mechanism."
241,Parental military deployment,-0.16,Harmful,AI-ADJACENT,High,No,"AI may track or report on this influence, but it is not the causal mechanism."
242,Television,-0.18,Harmful,AI-ADJACENT,Low,Low,"AI may track or report on this influence, but it is not the causal mechanism."
243,Students feeling disliked,-0.19,Harmful,AI-RESISTANT,High,Low,"Core mechanism depends on human relationship, social context, embodied judgment, or institutional trust."
244,Suspension/expelling students,-0.2,Harmful,AI-RESISTANT,High,Low,"Core mechanism depends on human relationship, social context, embodied judgment, or institutional trust."
245,Non-standard dialect use,-0.29,Harmful,AI-ADJACENT,Low,Low,"AI may track or report on this influence, but it is not the causal mechanism."
246,Retention (holding students back),-0.32,Harmful,AI-ADJACENT,Low,Low,"AI may track or report on this influence, but it is not the causal mechanism."
247,Corporal punishment in the home,-0.33,Harmful,AI-RESISTANT,High,Low,"Core mechanism depends on human relationship, social context, embodied judgment, or institutional trust."
248,Moving between schools,-0.34,Harmful,AI-ADJACENT,Low,Low,"AI may track or report on this influence, but it is not the causal mechanism."
249,Depression,-0.36,Harmful,AI-ADJACENT,Low,No,"AI may track or report on this influence, but it is not the causal mechanism."
250,Boredom,-0.49,Harmful,AI-ADJACENT,Low,Low,"AI may track or report on this influence, but it is not the causal mechanism."
251,Deafness,-0.61,Harmful,AI-ADJACENT,Low,No,"AI may track or report on this influence, but it is not the causal mechanism."
252,ADHD,-0.9,Harmful,AI-ADJACENT,Low,No,"AI may track or report on this influence, but it is not the causal mechanism."
